"nationality","birthDate","latitude","longitude"
"Nigeria","1992-03-23T00:00:00.000Z",5.1089602,7.36378
"Côte d'Ivoire","1980-12-14T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1993-06-15T00:00:00.000Z",5.3572102,-4.0157599
"Switzerland","1987-01-18T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1987-11-30T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1983-04-02T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1984-05-22T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1978-03-11T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1992-08-28T00:00:00.000Z",5.3572102,-4.0157599
"Côte d'Ivoire","1986-10-17T00:00:00.000Z",5.3572102,-4.0157599
"Nigeria","1992-12-12T00:00:00.000Z",9.0630903,7.4617801
"Ghana","1982-12-03T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1988-12-09T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1990-10-18T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1989-12-31T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1992-05-01T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1991-09-19T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1987-04-23T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1985-11-22T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1990-07-13T00:00:00.000Z",5.5810699,-0.19897
"Ghana","1992-01-10T00:00:00.000Z",5.7741599,0.63377
"Australia","1988-07-03T00:00:00.000Z",-34.9248009,138.5910034
"Australia","1989-08-15T00:00:00.000Z",-34.9248009,138.5910034
"Switzerland","1984-01-16T00:00:00.000Z",47.0716019,8.3761396
"Iran","1982-10-20T00:00:00.000Z",31.3167133,48.6843834
"Iran","1983-09-06T00:00:00.000Z",31.3167133,48.6843834
"France","1990-03-08T00:00:00.000Z",41.9087982,8.7113705
"Nigeria","1990-09-16T00:00:00.000Z",7.2610002,5.25945
"Costa Rica","1983-07-21T00:00:00.000Z",10.01616,-84.2137604
"Spain","1984-05-11T00:00:00.000Z",38.9822006,-1.8533601
"Algeria","1986-09-02T00:00:00.000Z",36.7805595,3.03901
"Algeria","1988-06-18T00:00:00.000Z",36.7805595,3.03901
"Portugal","1985-02-02T00:00:00.000Z",38.6757011,-9.1636105
"Ecuador","1991-01-20T00:00:00.000Z",0.42664,-78.0097809
"Brazil","1991-09-09T00:00:00.000Z",-22.7420006,-47.3272018
"Netherlands","1990-03-09T00:00:00.000Z",52.3306999,4.86654
"Netherlands","1984-11-30T00:00:00.000Z",52.3306999,4.86654
"Netherlands","1987-11-24T00:00:00.000Z",52.3306999,4.86654
"Chile","1988-06-15T00:00:00.000Z",-23.6035004,-70.3740997
"Belgium","1993-05-13T00:00:00.000Z",51.235199,4.4238801
"Côte d'Ivoire","1987-05-27T00:00:00.000Z",5.4933901,-4.0897598
"Iran","1990-04-03T00:00:00.000Z",38.2481117,48.30476
"Spain","1986-01-08T00:00:00.000Z",27.7620201,-15.6833096
"Cameroon","1984-03-24T00:00:00.000Z",50.2905998,2.7862101
"Greece","1984-06-27T00:00:00.000Z",49.987999,9.1098804
"Ecuador","1988-02-21T00:00:00.000Z",-0.02437,-79.9571915
"Greece","1990-12-21T00:00:00.000Z",37.9928017,23.7695007
"Greece","1985-07-11T00:00:00.000Z",37.9928017,23.7695007
"Greece","1991-06-14T00:00:00.000Z",37.9928017,23.7695007
"Costa Rica","1983-08-13T00:00:00.000Z",9.8849916,-84.2272339
"Algeria","1991-02-21T00:00:00.000Z",46.6372795,2.3382623
"Korea Republic","1988-04-14T00:00:00.000Z",36.0972404,127.5127029
"USA","1985-07-11T00:00:00.000Z",41.9450798,-71.2810898
"Ecuador","1989-09-01T00:00:00.000Z",-1.80849,-79.5156403
"Germany","1992-04-17T00:00:00.000Z",50.8650017,9.70259
"Cameroon","1982-01-20T00:00:00.000Z",5.4727101,10.4216604
"Argentina","1982-02-05T00:00:00.000Z",-38.7061005,-62.2179985
"Iran","1982-02-03T00:00:00.000Z",37.4719009,49.4667587
"Bosnia and Herzegovina","1989-10-24T00:00:00.000Z",44.7739983,17.1996002
"Spain","1987-02-02T00:00:00.000Z",41.375,2.1575899
"Italy","1982-07-12T00:00:00.000Z",41.103199,16.8645992
"Brazil","1987-03-24T00:00:00.000Z",-22.4720001,-43.8193016
"Colombia","1988-07-11T00:00:00.000Z",10.9821701,-74.8300171
"Colombia","1985-05-17T00:00:00.000Z",10.9821701,-74.8300171
"Netherlands","1992-02-08T00:00:00.000Z",38.6637001,-9.0689898
"Switzerland","1992-09-27T00:00:00.000Z",47.5708008,7.5856199
"France","1986-09-27T00:00:00.000Z",43.4850006,-1.47554
"Netherlands","1984-01-23T00:00:00.000Z",53.2972984,6.5962501
"Brazil","1992-09-08T00:00:00.000Z",-19.9685993,-43.9455986
"Nigeria","1992-12-25T00:00:00.000Z",7.3347082,8.7401028
"Germany","1988-12-16T00:00:00.000Z",50.9894981,7.1231599
"Ghana","1987-03-06T00:00:00.000Z",52.5014076,13.4023285
"USA","1993-01-28T00:00:00.000Z",52.5014076,13.4023285
"Bosnia and Herzegovina","1992-09-10T00:00:00.000Z",52.5014076,13.4023285
"Germany","1988-09-03T00:00:00.000Z",52.5014076,13.4023285
"Argentina","1987-02-22T00:00:00.000Z",-26.2606106,-53.6449585
"Russia","1990-06-17T00:00:00.000Z",43.1958809,44.5470581
"Côte d'Ivoire","1988-12-10T00:00:00.000Z",5.29287,-3.90134
"England","1989-09-01T00:00:00.000Z",52.4786682,-1.90848
"Portugal","1987-12-22T00:00:00.000Z",11.8671103,-15.6281605
"Croatia","1983-12-20T00:00:00.000Z",45.9073982,16.8449001
"Cameroon","1982-11-02T00:00:00.000Z",48.9057007,2.4674599
"Cameroon","1991-08-08T00:00:00.000Z",51.4819984,7.2126398
"Colombia","1989-03-09T00:00:00.000Z",4.3153343,-74.1796036
"Colombia","1993-02-28T00:00:00.000Z",4.3153343,-74.1796036
"Colombia","1985-01-06T00:00:00.000Z",4.3153343,-74.1796036
"Colombia","1990-07-25T00:00:00.000Z",4.3153343,-74.1796036
"Côte d'Ivoire","1983-05-13T00:00:00.000Z",7.68118,-5.0343599
"Côte d'Ivoire","1981-03-19T00:00:00.000Z",7.68118,-5.0343599
"Belgium","1992-05-11T00:00:00.000Z",51.1404991,5.5992899
"Argentina","1987-12-10T00:00:00.000Z",48.4131012,-4.49756
"Australia","1983-01-11T00:00:00.000Z",-27.4684601,153.0234222
"France","1984-09-28T00:00:00.000Z",44.8880005,-0.61434
"Bosnia and Herzegovina","1991-08-04T00:00:00.000Z",47.4841995,8.2064304
"Belgium","1985-03-20T00:00:00.000Z",51.2066994,3.21924
"Belgium","1995-02-05T00:00:00.000Z",50.842701,4.3781099
"Argentina","1986-04-10T00:00:00.000Z",-34.6145554,-58.4458771
"Uruguay","1986-06-16T00:00:00.000Z",-34.6145554,-58.4458771
"Argentina","1985-01-16T00:00:00.000Z",-34.6145554,-58.4458771
"Argentina","1983-07-30T00:00:00.000Z",-34.6145554,-58.4458771
"Argentina","1988-04-12T00:00:00.000Z",-34.6145554,-58.4458771
"Chile","1988-06-12T00:00:00.000Z",-33.7333984,-70.7356033
"Spain","1988-04-28T00:00:00.000Z",42.3496017,-3.6720099
"Korea Republic","1985-09-12T00:00:00.000Z",35.1779289,129.078476
"Iran","1986-09-16T00:00:00.000Z",28.9201927,50.837059
"Brazil","1981-08-27T00:00:00.000Z",-20.8491802,-41.1131516
"Australia","1992-06-14T00:00:00.000Z",-16.91959,145.7737122
"Colombia","1971-06-21T00:00:00.000Z",3.43401,-76.5264664
"Colombia","1990-05-19T00:00:00.000Z",3.43401,-76.5264664
"Colombia","1976-01-13T00:00:00.000Z",3.43401,-76.5264664
"Colombia","1985-05-22T00:00:00.000Z",3.43401,-76.5264664
"Brazil","1986-07-25T00:00:00.000Z",-7.22405,-35.8909492
"Uruguay","1980-11-02T00:00:00.000Z",-34.5247803,-56.2806015
"Ghana","1992-12-18T00:00:00.000Z",5.1189499,-1.2609299
"Croatia","1985-08-27T00:00:00.000Z",43.1081009,17.7161007
"Italy","1978-01-28T00:00:00.000Z",44.0749016,10.1039
"Algeria","1992-02-29T00:00:00.000Z",43.6008987,2.2457299
"Mexico","1988-03-14T00:00:00.000Z",20.5172195,-100.8542175
"Algeria","1991-10-22T00:00:00.000Z",48.9430008,4.3933702
"France","1986-09-30T00:00:00.000Z",45.5662994,5.92414
"Italy","1986-01-19T00:00:00.000Z",45.0103989,7.8133101
"Colombia","1985-12-14T00:00:00.000Z",7.6602602,-76.6790009
"Korea Republic","1981-07-08T00:00:00.000Z",36.0150986,128.4609985
"Belgium","1978-02-07T00:00:00.000Z",50.0433998,4.3260798
"Algeria","1987-11-25T00:00:00.000Z",36.172699,1.32372
"Honduras","1993-03-16T00:00:00.000Z",13.3032103,-87.1880188
"Korea Republic","1992-07-08T00:00:00.000Z",37.8704987,127.7229538
"Korea Republic","1989-02-27T00:00:00.000Z",36.9723892,127.9344635
"Mexico","1992-09-19T00:00:00.000Z",19.2793865,-99.134758
"Mexico","1990-03-29T00:00:00.000Z",23.7311001,-99.1538925
"Mexico","1991-03-08T00:00:00.000Z",23.7311001,-99.1538925
"Portugal","1986-05-11T00:00:00.000Z",40.1987991,-8.4083796
"Honduras","1977-05-03T00:00:00.000Z",14.4227896,-87.6278305
"Mexico","1986-03-06T00:00:00.000Z",28.6523571,-106.0227356
"Chile","1987-02-21T00:00:00.000Z",-29.9575996,-71.2490997
"Mexico","1988-06-25T00:00:00.000Z",18.9038105,-96.9750214
"Spain","1985-01-09T00:00:00.000Z",38.2510986,-0.81453
"USA","1982-04-23T00:00:00.000Z",39.0119209,-76.6908417
"Colombia","1991-07-12T00:00:00.000Z",7.9038901,-72.4938126
"Mexico","1988-01-17T00:00:00.000Z",24.8084393,-107.3946762
"Korea Republic","1985-07-10T00:00:00.000Z",35.8540192,128.6103363
"France","1981-05-15T00:00:00.000Z",14.6692696,-17.4366093
"USA","1988-10-11T00:00:00.000Z",32.7781487,-96.7954025
"USA","1983-01-28T00:00:00.000Z",36.5859795,-79.4171982
"Croatia","1979-09-14T00:00:00.000Z",45.1095009,17.5151005
"Cameroon","1992-08-28T00:00:00.000Z",5.6854768,12.7228775
"Côte d'Ivoire","1986-12-21T00:00:00.000Z",36.8209381,-89.2116318
"Korea Republic","1986-12-24T00:00:00.000Z",36.0972404,127.5127029
"Korea Republic","1989-06-27T00:00:00.000Z",36.0972404,127.5127029
"Nigeria","1990-03-05T00:00:00.000Z",9.5595055,8.0778809
"Netherlands","1988-04-03T00:00:00.000Z",52.0672989,4.29251
"Croatia","1986-02-05T00:00:00.000Z",44.975399,17.9116993
"Brazil","1987-04-22T00:00:00.000Z",-23.6770992,-46.6309013
"Germany","1980-08-06T00:00:00.000Z",50.3704987,8.0194998
"Algeria","1983-08-30T00:00:00.000Z",47.3443985,5.0650201
"Germany","1988-07-19T00:00:00.000Z",51.5166092,7.4582901
"Cameroon","1988-11-12T00:00:00.000Z",4.0647702,9.7012997
"Cameroon","1985-06-20T00:00:00.000Z",4.0647702,9.7012997
"Cameroon","1984-06-04T00:00:00.000Z",4.0647702,9.7012997
"Cameroon","1996-05-12T00:00:00.000Z",4.0647702,9.7012997
"Cameroon","1987-09-09T00:00:00.000Z",4.0647702,9.7012997
"Netherlands","1983-08-12T00:00:00.000Z",52.0054703,6.1744499
"Belgium","1991-06-28T00:00:00.000Z",51.0503693,3.6630199
"Bosnia and Herzegovina","1980-08-18T00:00:00.000Z",42.6537018,18.0846996
"Japan","1986-09-12T00:00:00.000Z",33.6233215,132.7364655
"Ecuador","1979-03-16T00:00:00.000Z",0.47297,-78.0611267
"Australia","1988-08-22T00:00:00.000Z",-23.5217991,148.154007
"USA","1987-04-29T00:00:00.000Z",40.8952484,-73.9746017
"Nigeria","1990-02-03T00:00:00.000Z",6.4478998,7.5099902
"Iran","1983-07-12T00:00:00.000Z",32.6508598,51.6838608
"Ecuador","1981-09-28T00:00:00.000Z",0.96159,-79.65522
"Ecuador","1979-08-11T00:00:00.000Z",0.96159,-79.65522
"Ecuador","1988-05-05T00:00:00.000Z",0.96159,-79.65522
"Ecuador","1988-09-08T00:00:00.000Z",0.96159,-79.65522
"Ecuador","1982-12-10T00:00:00.000Z",0.96159,-79.65522
"Ecuador","1987-07-08T00:00:00.000Z",0.96159,-79.65522
"Spain","1988-09-02T00:00:00.000Z",42.6706009,-2.0271399
"Belgium","1987-11-22T00:00:00.000Z",50.8311996,4.3962002
"USA","1984-09-09T00:00:00.000Z",41.7221985,-87.7019119
"Côte d'Ivoire","1984-11-07T00:00:00.000Z",7.38766,-7.3772001
"Belgium","1985-08-05T00:00:00.000Z",50.4345016,4.5467401
"Italy","1981-05-08T00:00:00.000Z",43.8068314,11.2930698
"Portugal","1984-05-23T00:00:00.000Z",40.1487999,-8.8565197
"Italy","1979-05-19T00:00:00.000Z",45.473999,10.1786003
"USA","1982-05-24T00:00:00.000Z",41.0802612,-85.1383133
"USA","1990-03-29T00:00:00.000Z",50.1120796,8.6834097
"USA","1981-11-03T00:00:00.000Z",50.1120796,8.6834097
"Uruguay","1990-12-02T00:00:00.000Z",-33.1212311,-58.3055191
"Germany","1994-01-19T00:00:00.000Z",47.9985313,7.8496499
"Switzerland","1992-08-08T00:00:00.000Z",47.2061996,8.75278
"France","1985-07-28T00:00:00.000Z",50.5540009,3.135
"Netherlands","1994-02-14T00:00:00.000Z",46.8067017,7.1598401
"Spain","1984-03-20T00:00:00.000Z",40.2888985,-3.7932
"Japan","1984-01-18T00:00:00.000Z",34.8721085,138.2625427
"Japan","1982-06-09T00:00:00.000Z",33.5839653,130.4128571
"Portugal","1985-02-05T00:00:00.000Z",32.6469307,-16.9085293
"Italy","1985-01-25T00:00:00.000Z",45.6679001,8.8006897
"Cameroon","1992-01-22T00:00:00.000Z",9.3000002,13.3999996
"Cameroon","1992-08-17T00:00:00.000Z",9.3000002,13.3999996
"Australia","1988-06-27T00:00:00.000Z",-38.1456985,144.3569946
"Germany","1986-03-27T00:00:00.000Z",51.5172997,7.12221
"Germany","1988-10-15T00:00:00.000Z",51.5172997,7.12221
"Switzerland","1986-01-16T00:00:00.000Z",46.2000999,6.1673002
"Switzerland","1985-02-14T00:00:00.000Z",46.2000999,6.1673002
"Iran","1988-01-06T00:00:00.000Z",50.5840988,8.67836
"Switzerland","1991-10-10T00:00:00.000Z",42.4705582,21.4791012
"Germany","1993-09-20T00:00:00.000Z",51.5743904,6.9926
"Germany","1985-06-04T00:00:00.000Z",50.2927017,18.6678009
"Cameroon","1992-04-14T00:00:00.000Z",5.6854768,12.7228775
"Costa Rica","1986-01-08T00:00:00.000Z",9.8849916,-84.2272339
"Costa Rica","1982-04-24T00:00:00.000Z",9.8849916,-84.2272339
"Greece","1986-10-10T00:00:00.000Z",39.6843719,21.8974094
"Greece","1994-03-18T00:00:00.000Z",39.6843719,21.8974094
"Korea Republic","1990-09-30T00:00:00.000Z",36.0972404,127.5127029
"Switzerland","1990-11-14T00:00:00.000Z",46.8037987,8.2228546
"Australia","1991-12-10T00:00:00.000Z",-28.0023308,153.4285431
"Nigeria","1984-11-28T00:00:00.000Z",10.3843603,11.1903152
"Switzerland","1991-03-16T00:00:00.000Z",41.8040009,20.9034996
"England","1989-11-22T00:00:00.000Z",51.4845085,0.00257
"England","1984-08-23T00:00:00.000Z",51.4845085,0.00257
"Germany","1990-01-04T00:00:00.000Z",54.0897446,13.3912439
"Netherlands","1989-04-22T00:00:00.000Z",51.7756004,5.9351201
"Mexico","1986-09-28T00:00:00.000Z",20.6875992,-103.3511124
"Mexico","1988-06-01T00:00:00.000Z",20.6875992,-103.3511124
"Mexico","1981-01-26T00:00:00.000Z",20.6875992,-103.3511124
"Mexico","1985-07-13T00:00:00.000Z",20.6875992,-103.3511124
"Mexico","1989-07-21T00:00:00.000Z",20.6875992,-103.3511124
"Ecuador","1995-04-19T00:00:00.000Z",-2.15955,-79.9283676
"Ecuador","1985-12-16T00:00:00.000Z",-2.15955,-79.9283676
"Ecuador","1988-09-05T00:00:00.000Z",-2.15955,-79.9283676
"Ecuador","1987-04-23T00:00:00.000Z",-2.15955,-79.9283676
"Ecuador","1985-04-09T00:00:00.000Z",-2.15955,-79.9283676
"Portugal","1986-01-24T00:00:00.000Z",41.4485016,-8.2955103
"Korea Republic","1989-01-24T00:00:00.000Z",35.1529388,126.9051514
"Netherlands","1991-06-27T00:00:00.000Z",52.3661995,4.6596198
"Germany","1988-02-29T00:00:00.000Z",51.7419014,7.1869302
"Cameroon","1989-03-23T00:00:00.000Z",53.5533409,9.9924698
"Germany","1984-09-29T00:00:00.000Z",52.3722687,9.7381496
"Costa Rica","1984-05-17T00:00:00.000Z",9.91399,-84.0972137
"Netherlands","1985-02-16T00:00:00.000Z",52.6581917,4.88415
"Greece","1985-02-21T00:00:00.000Z",35.3292999,25.1240997
"England","1988-03-17T00:00:00.000Z",54.9712982,-2.1149499
"Japan","1987-05-21T00:00:00.000Z",34.3838806,132.447937
"Japan","1986-04-16T00:00:00.000Z",34.9250488,134.8162231
"Japan","1989-03-17T00:00:00.000Z",34.9250488,134.8162231
"Nigeria","1990-09-14T00:00:00.000Z",8.4741497,4.5009999
"Korea Republic","1985-04-11T00:00:00.000Z",37.4631691,126.6608505
"Russia","1984-02-09T00:00:00.000Z",52.3082695,104.2391891
"Croatia","1987-04-23T00:00:00.000Z",-14.7891703,-39.2776184
"Côte d'Ivoire","1985-01-13T00:00:00.000Z",48.8144989,2.39166
"Korea Republic","1991-05-28T00:00:00.000Z",33.363472,126.5419846
"Korea Republic","1985-07-04T00:00:00.000Z",33.363472,126.5419846
"Korea Republic","1989-08-12T00:00:00.000Z",33.363472,126.5419846
"Korea Republic","1990-02-27T00:00:00.000Z",35.8269997,127.1443863
"Iran","1993-08-11T00:00:00.000Z",36.7000999,49.7918015
"Nigeria","1987-04-22T00:00:00.000Z",9.9204597,8.915
"Nigeria","1992-10-14T00:00:00.000Z",9.9204597,8.915
"Uruguay","1985-09-30T00:00:00.000Z",-34.4428444,-57.4304924
"Brazil","1983-05-06T00:00:00.000Z",-9.4432802,-40.5158997
"Argentina","1980-12-20T00:00:00.000Z",-32.8835487,-62.6789589
"Honduras","1983-05-02T00:00:00.000Z",15.6696396,-86.4924011
"Honduras","1990-11-05T00:00:00.000Z",14.7166996,-86.0832977
"Nigeria","1993-10-17T00:00:00.000Z",10.5419998,7.43607
"Nigeria","1990-12-12T00:00:00.000Z",10.5419998,7.43607
"Nigeria","1988-10-18T00:00:00.000Z",10.5419998,7.43607
"Nigeria","1990-09-25T00:00:00.000Z",10.5419998,7.43607
"Nigeria","1982-08-29T00:00:00.000Z",10.5419998,7.43607
"Japan","1980-01-28T00:00:00.000Z",31.5856171,130.5582428
"Japan","1990-05-18T00:00:00.000Z",31.5856171,130.5582428
"Greece","1988-06-09T00:00:00.000Z",37.0275002,22.1123009
"Japan","1990-04-04T00:00:00.000Z",35.3796806,139.3903961
"Japan","1988-03-27T00:00:00.000Z",35.0833321,138.9499969
"Nigeria","1980-09-06T00:00:00.000Z",11.9877996,8.4964399
"USA","1987-02-11T00:00:00.000Z",39.102951,-94.5830765
"Belgium","1985-11-14T00:00:00.000Z",51.3485985,4.4516101
"Iran","1987-02-26T00:00:00.000Z",35.8334999,50.9655991
"Bosnia and Herzegovina","1993-06-20T00:00:00.000Z",49.0054016,8.3868704
"Iran","1990-02-25T00:00:00.000Z",33.9835701,51.4466286
"Japan","1990-04-12T00:00:00.000Z",35.8613548,139.980072
"Greece","1985-02-13T00:00:00.000Z",40.2697983,22.5051994
"Netherlands","1980-07-22T00:00:00.000Z",52.196701,4.4244099
"Greece","1988-03-12T00:00:00.000Z",40.9407997,24.4206009
"Iran","1991-09-23T00:00:00.000Z",34.3093987,47.0545387
"Russia","1982-11-27T00:00:00.000Z",59.3755989,28.6228294
"Russia","1993-01-25T00:00:00.000Z",59.3755989,28.6228294
"Russia","1989-02-18T00:00:00.000Z",59.3755989,28.6228294
"England","1995-07-12T00:00:00.000Z",51.4070015,-0.29712
"England","1994-12-08T00:00:00.000Z",17.9709702,-76.7882385
"England","1984-12-11T00:00:00.000Z",53.4836006,-2.8894801
"Germany","1984-08-01T00:00:00.000Z",47.8417015,12.0396004
"Germany","1989-02-12T00:00:00.000Z",50.9416695,6.9551601
"Ghana","1984-08-27T00:00:00.000Z",6.63309,-1.20903
"Bosnia and Herzegovina","1985-09-26T00:00:00.000Z",44.6228981,17.3827
"Switzerland","1989-04-12T00:00:00.000Z",47.0340004,8.2816696
"Netherlands","1983-09-01T00:00:00.000Z",51.4153519,6.0008001
"Ghana","1989-09-28T00:00:00.000Z",6.6974502,-1.62984
"Ghana","1986-07-24T00:00:00.000Z",6.6974502,-1.62984
"Cameroon","1986-03-23T00:00:00.000Z",4.6324601,9.4514999
"Spain","1989-03-21T00:00:00.000Z",41.3576012,2.1113901
"Mexico","1982-09-18T00:00:00.000Z",20.2840805,-102.5500565
"Honduras","1984-07-29T00:00:00.000Z",15.7696199,-86.738739
"Honduras","1983-11-03T00:00:00.000Z",15.7696199,-86.738739
"Honduras","1982-05-13T00:00:00.000Z",15.7696199,-86.738739
"Honduras","1985-11-28T00:00:00.000Z",15.7696199,-86.738739
"Honduras","1982-05-24T00:00:00.000Z",15.7696199,-86.738739
"Belgium","1991-01-07T00:00:00.000Z",50.4735985,4.2142401
"Argentina","1990-03-20T00:00:00.000Z",-34.5830002,-58.25
"Ecuador","1989-06-14T00:00:00.000Z",-2.4374499,-79.3393097
"Nigeria","1989-07-16T00:00:00.000Z",8.5074396,8.5205202
"Spain","1988-10-07T00:00:00.000Z",-10.9149599,-37.66436
"Ecuador","1985-08-04T00:00:00.000Z",0.10247,-76.90979
"Mexico","1990-08-28T00:00:00.000Z",21.3575497,-101.932869
"Nigeria","1991-09-17T00:00:00.000Z",6.6016002,3.3968599
"France","1993-03-15T00:00:00.000Z",48.8739,2.68985
"Greece","1981-08-26T00:00:00.000Z",39.6104012,22.4162998
"Greece","1980-05-23T00:00:00.000Z",39.6104012,22.4162998
"Italy","1992-11-10T00:00:00.000Z",41.4569016,12.8989
"England","1983-04-03T00:00:00.000Z",52.2997017,-1.53091
"Italy","1989-12-02T00:00:00.000Z",45.5931015,8.9072704
"Netherlands","1989-07-22T00:00:00.000Z",52.0861206,4.39183
"Belgium","1987-05-06T00:00:00.000Z",50.8863983,4.7080302
"Algeria","1989-12-26T00:00:00.000Z",48.8988991,2.28771
"Costa Rica","1989-10-24T00:00:00.000Z",10.6272297,-85.4426804
"Belgium","1989-01-12T00:00:00.000Z",50.6223984,5.5899601
"Belgium","1987-10-05T00:00:00.000Z",50.6223984,5.5899601
"Belgium","1989-08-02T00:00:00.000Z",50.6223984,5.5899601
"Belgium","1987-10-24T00:00:00.000Z",-10.9813099,26.7238903
"Ghana","1989-12-17T00:00:00.000Z",50.6194992,3.06124
"France","1993-04-25T00:00:00.000Z",50.6194992,3.06124
"Algeria","1994-11-24T00:00:00.000Z",50.6194992,3.06124
"Costa Rica","1988-06-01T00:00:00.000Z",9.9909096,-83.0289764
"Costa Rica","1990-09-20T00:00:00.000Z",9.9909096,-83.0289764
"Croatia","1994-05-06T00:00:00.000Z",48.3185005,14.2853003
"Portugal","1990-09-10T00:00:00.000Z",38.7169991,-9.1386404
"Portugal","1982-05-01T00:00:00.000Z",38.7169991,-9.1386404
"Portugal","1984-02-25T00:00:00.000Z",38.7169991,-9.1386404
"Portugal","1985-01-27T00:00:00.000Z",38.7169991,-9.1386404
"Greece","1986-10-12T00:00:00.000Z",38.4385223,22.8804283
"England","1993-12-05T00:00:00.000Z",53.4121017,-2.94822
"England","1985-10-24T00:00:00.000Z",53.4121017,-2.94822
"England","1982-02-16T00:00:00.000Z",53.4121017,-2.94822
"USA","1989-11-06T00:00:00.000Z",40.7955284,-74.317421
"Ecuador","1983-10-20T00:00:00.000Z",-4.0215602,-79.2029495
"Ghana","1987-12-13T00:00:00.000Z",51.5064201,-0.12721
"Brazil","1985-05-04T00:00:00.000Z",-23.3066006,-51.1526985
"Italy","1986-02-15T00:00:00.000Z",-34.8596001,-58.3928909
"Algeria","1982-10-07T00:00:00.000Z",47.2942009,5.0384202
"Portugal","1992-04-07T00:00:00.000Z",-8.8871098,13.3539
"Germany","1990-11-06T00:00:00.000Z",49.4809418,8.4473
"Switzerland","1989-11-24T00:00:00.000Z",46.0043983,8.9544096
"Spain","1984-12-13T00:00:00.000Z",43.4424896,-5.8161201
"France","1987-01-02T00:00:00.000Z",45.7593918,4.82898
"Algeria","1985-05-15T00:00:00.000Z",45.7593918,4.82898
"France","1987-12-19T00:00:00.000Z",45.7593918,4.82898
"Portugal","1983-02-26T00:00:00.000Z",-9.6665096,-35.7349091
"France","1979-05-14T00:00:00.000Z",46.9908981,-1.81935
"France","1991-03-21T00:00:00.000Z",46.3055992,4.82655
"Spain","1982-08-31T00:00:00.000Z",40.4202805,-3.70577
"Spain","1992-01-08T00:00:00.000Z",40.4202805,-3.70577
"Spain","1990-11-07T00:00:00.000Z",40.4202805,-3.70577
"England","1990-11-26T00:00:00.000Z",53.4650993,-2.2370501
"Chile","1983-10-19T00:00:00.000Z",10.625,-71.6763
"Côte d'Ivoire","1979-12-30T00:00:00.000Z",5.3000398,-3.97966
"Brazil","1986-10-14T00:00:00.000Z",-24.5565491,-54.0566788
"Portugal","1988-02-15T00:00:00.000Z",39.7635994,-8.8048697
